function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;
11;BSM_2;black_scholes_monte_carlo(float, float, float, float, float, float, unsigned long) [clone .omp_outlined];XoshiroCpp.hpp:667-667,XoshiroCpp.hpp:840-846,BSM.cxx:143-147,BSM.cxx:164-165,BSM.cxx:192-196,simd_builtin.h:1548-1558,simd_builtin.h:1660-1660,cmath:182-182,cmath:327-327,cmath:377-377,cmath:443-443,simd.h:2110-2110,simd.h:2857-2857,new_allocator.h:172-172,uniform_01.hpp:98-98,random.h:1760-1760,random.h:1766-1766,random.h:1782-1782,char_traits.h:350-350,char_traits.h:427-427,basic_string.h:194-194,basic_string.h:228-228,basic_string.h:235-235,basic_string.h:269-269,basic_string.h:288-288,basic_string.h:294-294,normal_distribution.hpp:155-155,normal_distribution.hpp:163-164;40.18355178833;18.390005111694;0;0;0;0;0;0.010936932638288;0.00500528793782;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_Z25black_scholes_monte_carloffffffm.omp_outlined;;
801;libamath.so;_ZGVnN4v_exp2f;;39.2548828125;17.965000152588;0;0;0;0;0;39.2548828125;17.965000152588;0;0;0;0;0;;"0,0,0,100,0,0,0,0,0,0";_ZGVnN4v_exp2f;;
2436;libamath.so;__sincosf_finite;;10.313555717468;4.7199993133545;0;0;0;0;0;10.313555717468;4.7199993133545;0;0;0;0;0;;"0,0,0,100,0,0,0,0,0,0";__sincosf_finite;;
3355;libamath.so;__fs_log_1;;7.4620332717896;3.4150002002716;0;0;0;0;0;7.4620332717896;3.4150002002716;0;0;0;0;0;;"0,0,0,100,0,0,0,0,0,0";__fs_log_1;;
-1;BSM_2;unknown_function;;2.4909863471985;1.1400001049042;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";Unknown function;;
854;libomp.so;kmp_flag_64<false, true>::wait(kmp_info*, int, void*);;0.22943292558193;0.10499999672174;0;0;0;0;0;0.22943292558193;0.10499999672174;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";_ZN11kmp_flag_64ILb0ELb1EE4waitEP8kmp_infoiPv;;
1365;libc-2.26.so;__GI___sched_yield;;0.010925377719104;0.0049999998882413;0;0;0;0;0;0.010925377719104;0.0049999998882413;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";__GI___sched_yield;;
1054;libstdc++.so.6.0.33;std::random_device::_M_init(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&);;0.010925377719104;0.0049999998882413;0;0;0;0;0;0.010925377719104;0.0049999998882413;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";_ZNSt13random_device7_M_initERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE;;
358;libomp.so;__kmpc_reduce;;0.010925377719104;0.0049999998882413;0;0;0;0;0;0.010925377719104;0.0049999998882413;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";__kmpc_reduce;;
311;libc-2.26.so;getentropy;;0.010925377719104;0.0049999998882413;0;0;0;0;0;0.010925377719104;0.0049999998882413;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";getentropy;;
305;libomp.so;__kmpc_barrier;;0.010925377719104;0.0049999998882413;0;0;0;0;0;0.010925377719104;0.0049999998882413;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";__kmpc_barrier;;
295;libomp.so;__kmpc_fork_call;;0.010925377719104;0.0049999998882413;0;0;0;0;0;0.010925377719104;0.0049999998882413;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";__kmpc_fork_call;;
