function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;
801;libamath.so;_ZGVnN4v_exp2f;;40.411338806152;18.469999313354;0;0;0;0;0;40.411338806152;18.469999313354;0;0;0;0;0;;"0,0,0,100,0,0,0,0,0,0";_ZGVnN4v_exp2f;;
11;BSM_2;black_scholes_monte_carlo(float, float, float, float, float, float, unsigned long) [clone .omp_outlined];XoshiroCpp.hpp:667-667,XoshiroCpp.hpp:840-846,BSM.cxx:143-147,BSM.cxx:164-165,BSM.cxx:192-196,simd_builtin.h:1548-1558,simd_builtin.h:1660-1660,cmath:182-182,cmath:327-327,cmath:377-377,cmath:443-443,simd.h:2110-2110,simd.h:2857-2857,new_allocator.h:172-172,uniform_01.hpp:98-98,random.h:1760-1760,random.h:1766-1766,random.h:1782-1782,char_traits.h:350-350,char_traits.h:427-427,basic_string.h:194-194,basic_string.h:228-228,basic_string.h:235-235,basic_string.h:269-269,basic_string.h:288-288,basic_string.h:294-294,normal_distribution.hpp:155-155,normal_distribution.hpp:163-164;39.404884338379;18.010000228882;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_Z25black_scholes_monte_carloffffffm.omp_outlined;;
2436;libamath.so;__sincosf_finite;;10.020788192749;4.5800004005432;0;0;0;0;0;10.020788192749;4.5800004005432;0;0;0;0;0;;"0,0,0,100,0,0,0,0,0,0";__sincosf_finite;;
3355;libamath.so;__fs_log_1;;7.5812277793884;3.4649999141693;0;0;0;0;0;7.5812277793884;3.4649999141693;0;0;0;0;0;;"0,0,0,100,0,0,0,0,0,0";__fs_log_1;;
-1;BSM_2;unknown_function;;2.4614379405975;1.125;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";Unknown function;;
854;libomp.so;kmp_flag_64<false, true>::wait(kmp_info*, int, void*);;0.098457515239716;0.045000001788139;0;0;0;0;0;0.098457515239716;0.045000001788139;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";_ZN11kmp_flag_64ILb0ELb1EE4waitEP8kmp_infoiPv;;
822;libc-2.26.so;__GI___libc_free;;0.010939723812044;0.0050000003539026;0;0;0;0;0;0.010939723812044;0.0050000003539026;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";__GI___libc_free;;
1;libstdc++.so.6.0.33;@plt_start@;;0.010939723812044;0.0050000003539026;0;0;0;0;0;0.010939723812044;0.0050000003539026;0;0;0;0;0;;"0,0,0,0,100,0,0,0,0,0";@plt_start@;;
